2.70	     235.13
4.90	     207.28
4.91	     207.10
5.00	     206.28
6.22	     194.95
6.28	     194.41
8.10	     181.29
8.33	     179.91
9.58	     173.20
10.26	     170.07
10.48	     169.16
10.52	     169.01
10.52	     169.01
11.10	     166.72
14.99	     155.84
15.37	     155.08
15.77	     154.30
18.16	     150.46
23.06	     145.07
31.55	     139.38
42.81	     134.36
42.83	     134.36
85.63	     120.96
90.82	     119.53
90.82	     119.53
90.82	     119.53
90.82	     119.53
149.85	     103.96
149.85	     103.96
149.85	     103.96
157.74	     101.76
214.07	      94.18
230.54	      92.17
230.54	      92.17
230.54	      92.17
249.75	      88.18
272.45	      81.77
272.45	      81.77
272.45	      81.77
299.70	      83.62
299.70	      83.62
308.97	      83.18
333.00	      81.52
336.74	      81.20
348.49	      80.18
374.62	      78.02
389.22	      77.07
394.34	      76.72
410.55	      75.68
454.09	      72.99
461.08	      72.60
666.00	      65.44
666.00	      65.44
730.98	      63.94
810.00	      61.82
810.00	      61.82
856.29	      61.87
856.29	      61.87
1873.12	      56.49
2724.55	      55.86
2997.00	      55.83
