     1.24500    140.400    5.61600  140.8
     1.25800    141.200    5.64800  141.6
     1.28100    138.700    5.54800  139.1
     1.30700    138.200    5.52800  138.6
     1.34100    136.600    5.46400  137.1
     1.35000    137.200    5.48800  137.6
     1.36000    141.600    5.66400  142.1
     1.39200    141.700    5.66800  142.2
     1.41300    145.600    5.82400  146.0
     1.43100    142.600    5.70400  143.0
     1.44700    143.500    5.74000  144.0
     1.47800    145.100    5.80400  145.6
     1.49600    144.500    5.78000  144.9

