22.79  1.32   133.6   4.   134.7  0.050  0.055  1.175  1.497
32.96  0.91   146.9   2.6  148.4   0.044  0.049  0.823  1.018
40.89  0.73   155.4   1.7  157.1   0.040  0.049  0.666  0.817
61.34  0.49   165.3   1.5  166.2  0.048  0.052  0.439  0.552
93.82  0.32   172.9   1.7  174.3  0.046  0.050  0.288  0.359

