42.83	     134.36
23.06	     145.07
14.99	     155.85
8.33	     180.30
4.91	     202.60
2997.00	      55.83
2724.55	      55.86
1873.12	      56.49
856.29	      61.87
856.29	      61.87
810.00	      61.82
810.00	      61.82
730.98	      63.94
666.00	      65.44
666.00	      65.44
461.08	      72.60
454.09	      72.99
410.55	      75.68
394.34	      76.72
389.22	      77.07
374.62	      78.02
348.49	      80.18
336.74	      81.20
308.97	      83.18
333.00	      81.52
299.70	      83.62
299.70	      83.62
272.45	      81.77
272.45	      81.77
272.45	      81.77
249.75	      88.18
230.54	      92.17
230.54	      92.17
230.54	      92.17
214.07	      94.18
157.74	     101.76
149.85	     103.96
149.85	     103.96
149.85	     103.96
90.82	     119.53
90.82	     119.53
90.82	     119.53
90.82	     119.53
85.63	     120.96
42.81	     134.36
31.55	     139.38
18.16	     150.46
15.77	     154.30
15.37	     155.07
11.10	     166.52
10.52	     168.73
10.52	     168.73
10.48	     168.88
10.26	     169.74
9.58	     172.71
8.10	     180.09
6.28	     191.17
6.22	     191.61
5.00	     200.11
4.90	     201.13
2.70	     217.28
