0.339060	114.340000	0.865000	0.134000	0.000000	[1.1428613577909824e-05, 5.835057650408703e-05, 0.005487861446071673]	[4.7378045501804506e-06, 2.3058246910846558e-05, 0.0015675027935423084]
0.359030	116.640000	0.865000	0.134000	0.000000	[2.2074927867426754e-05, 0.0001126509788883056, 0.010257217394608508]	[9.3865286990219329e-06, 4.5683551408478139e-05, 0.003062116197860038]
0.379750	118.940000	0.865000	0.134000	0.000001	[4.1380260368452717e-05, 0.00021106257777865685, 0.018611898513172874]	[1.8038131019253534e-05, 8.7790594833402354e-05, 0.0057966646075897207]
0.401230	121.230000	0.865000	0.134000	0.000001	[7.545420002688804e-05, 0.00038466357196319836, 0.032859946337541954]	[3.3698316567278049e-05, 0.0001640066451625484, 0.010657178739932644]
0.423490	123.510000	0.865000	0.134000	0.000002	[0.00013422076588338148, 0.0006839016394409769, 0.05661049384432973]	[6.1378509735640207e-05, 0.00029871785177149691, 0.019084665757269793]
0.446550	125.780000	0.865000	0.134000	0.000003	[0.0002333990566728216, 0.0011886264891615174, 0.09536026531692515]	[0.00010922539048865512, 0.00053156267025123165, 0.033359702920261095]
0.470420	128.040000	0.865000	0.134000	0.000004	[0.0003964334969280397, 0.002017830558200602, 0.1569368305879587]	[0.00018975303508320164, 0.00092342093500587925, 0.056875923168229682]
0.495110	130.290000	0.865000	0.134000	0.000007	[0.0006591766963306505, 0.0033533547250063603, 0.2528914341443273]	[0.00032254423432314533, 0.0015695462237937993, 0.094797142998527512]
0.520640	132.540000	0.865000	0.134000	0.000011	[0.0010779792270625562, 0.005480833292190664, 0.4008892599130815]	[0.00053900458703963396, 0.0026226779235993657, 0.15520910746133162]
0.547030	134.780000	0.865000	0.134000	0.000016	[0.0017260700021931737, 0.008770964246276212, 0.6223308389311125]	[0.00088150502228811665, 0.004288819980018896, 0.24849056107553982]
0.574300	137.010000	0.865000	0.134000	0.000025	[0.0027115759581974683, 0.01377073428885853, 0.9479565851133936]	[0.0014137384044891391, 0.0068775692982616992, 0.38981999235958686]
0.602450	139.230000	0.865000	0.134000	0.000037	[0.004190393147430487, 0.021268157548179616, 1.4206272458581446]	[0.0022293878947574337, 0.010844172780355245, 0.6008380202149165]
0.631500	141.450000	0.865000	0.134000	0.000055	[0.006393721056393107, 0.03243112037232156, 2.1023298739377676]	[0.0034698852287854713, 0.016875739301133719, 0.91338567039300755]
0.661480	143.660000	0.865000	0.134000	0.000080	[0.00960693989946577, 0.04869884135246931, 3.0638737775594063]	[0.0053160311655091911, 0.025850142050303417, 1.3657358566135056]
0.692390	145.860000	0.865000	0.134000	0.000090	[0.011220791335739303, 0.0568427130399962, 3.4716499528655764]	[0.0063286749018903847, 0.030768516385739325, 1.5858317784570142]
0.724260	148.060000	0.865000	0.134000	0.000090	[0.011588154416067378, 0.058664568634209144, 3.4788763104277356]	[0.0066600050384429217, 0.032372582689146653, 1.6267703714946795]
0.757090	150.250000	0.865000	0.134000	0.000090	[0.011964589667387036, 0.06052868327405035, 3.4855158096888177]	[0.0070043268069143886, 0.034038287610893322, 1.6666796177259815]
0.790900	152.430000	0.865000	0.134000	0.000090	[0.012350417919834836, 0.06243641477209335, 3.491558068155065]	[0.0073620931217146931, 0.035767616791757696, 1.7055184540951125]
0.825700	154.610000	0.865000	0.134000	0.000090	[0.012742467916069039, 0.06437157861369874, 3.4962618101853673]	[0.0077322917669555196, 0.037555484577245044, 1.7430040317717996]
0.861520	156.780000	0.865000	0.134000	0.000090	[0.013144427194787102, 0.06635242958667349, 3.5003647296113223]	[0.0081167683591460617, 0.0394105393187077, 1.7793482271886321]
0.898370	158.950000	0.865000	0.134000	0.000090	[0.013553005547910354, 0.06836218999251982, 3.5031472273338604]	[0.0085144273449937209, 0.041327255935693391, 1.8142770250823186]
0.936270	161.110000	0.865000	0.134000	0.000090	[0.01397167556325833, 0.0704179860744987, 3.5052805109468825]	[0.0089270230267127614, 0.043313781812391802, 1.8479897994947603]
0.975230	163.260000	0.865000	0.134000	0.000090	[0.014400433066820444, 0.07251948433903234, 3.50671602359692]	[0.0093548396753516967, 0.045371165590297857, 1.8804483681269872]
1.015300	165.410000	0.865000	0.134000	0.000090	[0.014836991555766343, 0.07465489113064912, 3.5069151176161415]	[0.0097974074415435857, 0.047496819288864754, 1.9114761982823019]
1.056400	167.550000	0.865000	0.134000	0.000090	[0.015282067411964542, 0.07682759014667599, 3.5061905652031697]	[0.010254715410006178, 0.049690320512657024, 1.9410974647898807]
1.098600	169.690000	0.865000	0.134000	0.000090	[0.015733858978459057, 0.0790282139109083, 3.504110044795018]	[0.010726570703837169, 0.051950369256802575, 1.9691924946597723]
1.142000	171.830000	0.865000	0.134000	0.000090	[0.016194736236759443, 0.08126814618831982, 3.500932849918875]	[0.01121485329294522, 0.054285538864703574, 1.9959015827446964]
1.186500	173.950000	0.865000	0.134000	0.000090	[0.016668752558139384, 0.08356732713799621, 3.497512148506794]	[0.011721021587662072, 0.056702316516559041, 2.0214670189579835]
1.232200	176.080000	0.865000	0.134000	0.000090	[0.017147369191712045, 0.08588279858722712, 3.4923054544052796]	[0.012241937113642869, 0.059185225218666822, 2.045370061271234]
1.279100	178.200000	0.865000	0.134000	0.000090	[0.017637522503965775, 0.08824867729666694, 3.486450871381276]	[0.012781048801962116, 0.06175017912463842, 2.0680313691145074]
1.327100	180.310000	0.865000	0.134000	0.000090	[0.0181361999767111, 0.09064976930859017, 3.479673833671791]	[0.013336471959374426, 0.064387637189356889, 2.0893014976849025]
