0.339060	114.340000	0.865000	0.134000	0.000000	[4.6429759691672513e-07, 4.0115827888854e-06, 1.9698487447559835e-05, 0.0014928899299290243]	[5.4976556726759882e-07, 4.7378045501804506e-06, 2.3058246910846558e-05, 0.0015675027935423084]
0.359030	116.640000	0.865000	0.134000	0.000000	[9.163679067348562e-07, 7.917829687885433e-06, 3.8885500858335036e-05, 0.0029166687937661226]	[1.0891908305311473e-06, 9.3865286990219329e-06, 4.5683551408478139e-05, 0.003062116197860038]
0.379750	118.940000	0.865000	0.134000	0.000001	[1.7544435735486242e-06, 1.5159748918911053e-05, 7.446212080784945e-05, 0.005522760896251461]	[2.0931003270683513e-06, 1.8038131019253534e-05, 8.7790594833402354e-05, 0.0057966646075897207]
0.401230	121.230000	0.865000	0.134000	0.000001	[3.2657500619010683e-06, 2.821961331889128e-05, 0.00013862866393681922, 0.010157826676654042]	[3.9102758981076851e-06, 3.3698316567278049e-05, 0.0001640066451625484, 0.010657178739932644]
0.423490	123.510000	0.865000	0.134000	0.000002	[5.927348631871423e-06, 5.122043231570273e-05, 0.00025165195107824316, 0.018200742787408627]	[7.122253784709017e-06, 6.1378509735640207e-05, 0.00029871785177149691, 0.019084665757269793]
0.446550	125.780000	0.865000	0.134000	0.000003	[1.0511834801869103e-05, 9.083956256438076e-05, 0.00044635810179943737, 0.03183728931459326]	[1.2674415154452e-05, 0.00010922539048865512, 0.00053156267025123165, 0.033359702920261095]
0.470420	128.040000	0.865000	0.134000	0.000004	[1.820098295351505e-05, 0.0001572910910853289, 0.0007729650246550789, 0.05432660562496703]	[2.2019003177390046e-05, 0.00018975303508320164, 0.00092342093500587925, 0.056875923168229682]
0.495110	130.290000	0.865000	0.134000	0.000007	[3.08380057757985e-05, 0.00026650620476733987, 0.0013098034417537616, 0.09063753283326553]	[3.742865906646052e-05, 0.00032254423432314533, 0.0015695462237937993, 0.094797142998527512]
0.520640	132.540000	0.865000	0.134000	0.000011	[5.137038681142245e-05, 0.00044396086773596015, 0.002182140092698609, 0.14856364015144036]	[6.254821788797906e-05, 0.00053900458703963396, 0.0026226779235993657, 0.15520910746133162]
0.547030	134.780000	0.865000	0.134000	0.000016	[8.375452657911989e-05, 0.0007238520593549959, 0.0035581318482193532, 0.23814592567737788]	[0.00010229547314963462, 0.00088150502228811665, 0.004288819980018896, 0.24849056107553982]
0.574300	137.010000	0.865000	0.134000	0.000025	[0.00013392326393469505, 0.001157460026396553, 0.0056899350143955465, 0.3741013147174911]	[0.00016406335280616627, 0.0014137384044891391, 0.0068775692982616992, 0.38981999235958686]
0.602450	139.230000	0.865000	0.134000	0.000037	[0.00021058021942825707, 0.0018200139492887124, 0.008947456545821282, 0.5774656232350837]	[0.00025872649568929042, 0.0022293878947574337, 0.010844172780355245, 0.6008380202149165]
0.631500	141.450000	0.865000	0.134000	0.000055	[0.0003268355368975849, 0.0028248303083677115, 0.01388786721875463, 0.8792545202036076]	[0.0004027030649961123, 0.0034698852287854713, 0.016875739301133719, 0.91338567039300755]
0.661480	143.660000	0.865000	0.134000	0.000080	[0.0004993796881994175, 0.0043161690310435895, 0.021220398564026386, 1.3169491409527343]	[0.00061698412573108624, 0.0053160311655091911, 0.025850142050303417, 1.3657358566135056]
0.692390	145.860000	0.865000	0.134000	0.000090	[0.0005929071280314312, 0.0051245675744319204, 0.025195202318909815, 1.531895792622452]	[0.00073454440083203809, 0.0063286749018903847, 0.030768516385739325, 1.5858317784570142]
0.724260	148.060000	0.865000	0.134000	0.000090	[0.0006222742475926743, 0.0053784106879520765, 0.02644320354528416, 1.574334826730342]	[0.00077303782183734955, 0.0066600050384429217, 0.032372582689146653, 1.6267703714946795]
0.757090	150.250000	0.865000	0.134000	0.000090	[0.0006527351820962425, 0.005641688291006121, 0.027737125250432933, 1.6160670601968694]	[0.0008130474330924456, 0.0070043268069143886, 0.034038287610893322, 1.6666796177259815]
0.790900	152.430000	0.865000	0.134000	0.000090	[0.0006843284531129967, 0.005914729078930751, 0.029078486788302504, 1.6570496256483405]	[0.00085462696837491437, 0.0073620931217146931, 0.035767616791757696, 1.7055184540951125]
0.825700	154.610000	0.865000	0.134000	0.000090	[0.0007169464399366352, 0.006196600812572721, 0.030462654202849913, 1.6969926549897534]	[0.00089765982133104233, 0.0077322917669555196, 0.037555484577245044, 1.7430040317717996]
0.861520	156.780000	0.865000	0.134000	0.000090	[0.00075076691757489, 0.006488832393109346, 0.03189697409138784, 1.7361051104120184]	[0.0009423619616708551, 0.0081167683591460617, 0.0394105393187077, 1.7793482271886321]
0.898370	158.950000	0.865000	0.134000	0.000090	[0.0007856744570563798, 0.006790423404511717, 0.03337646117937478, 1.7741015470270478]	[0.000988607293604596, 0.0085144273449937209, 0.041327255935693391, 1.8142770250823186]
0.936270	161.110000	0.865000	0.134000	0.000090	[0.0008218383674278236, 0.0071028282074430535, 0.034908064544699705, 1.8111746727577387]	[0.0010366014994996123, 0.0089270230267127614, 0.043313781812391802, 1.8479897994947603]
0.975230	163.260000	0.865000	0.134000	0.000090	[0.0008592815599768746, 0.007426237902232768, 0.03649256599334715, 1.8472744641822405]	[0.0010863793754637948, 0.0093548396753516967, 0.045371165590297857, 1.8804483681269872]
1.015300	165.410000	0.865000	0.134000	0.000090	[0.0008979466128646354, 0.007760151205180052, 0.03812738332076143, 1.8822115799390486]	[0.0011378880227280407, 0.0097974074415435857, 0.047496819288864754, 1.9114761982823019]
