   0 -243.30588730561757
   1 -242.887227943574
   2 -242.6963741139254
   3 -243.58386142127827
   4 -242.97056102185704
   5 -243.2594495783683
   6 -243.03163020294585
   7 -243.06422850617523
   8 -242.81683723875474
   9 -243.04734823471222
  10 -243.62777275151109
  11 -242.81443449796222
  12 -243.3715816397779
  13 -242.89231341772401
  14 -243.48520252256941
  15 -243.05757787862834
  16 -242.85571193235972
  17 -242.63766887325977
  18 -242.87822990285574
  19 -243.36515038172234
  20 -242.0920968852781
  21 -242.70802228583992
  22 -242.45096017984798
  23 -243.01212506031368
  24 -242.94306992937499
  25 -242.89372407643418
  26 -242.58191965981786
  27 -242.64937510291023
  28 -243.05529049522795
  29 -242.76631572914712
   0 -243.21240869504376
   1 -242.68448676614187
   2 -242.76538799600027
   3 -243.52628139822016
   4 -243.15319633634149
   5 -243.39693080021124
   6 -243.07386768813163
   7 -242.78773532253345
   8 -242.94471696710235
   9 -242.83010102309782
  10 -243.68394682275789
  11 -242.85609888477543
  12 -243.25226659464184
  13 -242.84603222917269
  14 -243.3776213150887
  15 -243.16135685334706
  16 -242.93849074664487
  17 -242.5683380943079
  18 -242.90730633374153
  19 -243.27068518339817
  20 -242.24584091226819
  21 -242.88541855061646
  22 -242.56183003704299
  23 -243.06924266942877
  24 -242.90108552287251
  25 -242.98778026357462
  26 -242.17916066041798
  27 -242.60617802029071
  28 -242.97154710796076
  29 -242.80083203964278
   0 -243.23626689202618
   1 -242.67230868223041
   2 -242.69147603656393
   3 -243.52628139822016
   4 -242.95347351175769
   5 -243.38015335734602
   6 -243.07175406971811
   7 -242.86662015678976
   8 -242.94417572681803
   9 -242.83010102309782
  10 -243.57596804059276
  11 -242.63668689737025
  12 -243.38158320630444
  13 -242.97443945933895
  14 -243.50597251394493
  15 -243.05682237930876
  16 -243.10829276611892
  17 -242.4726637162552
  18 -242.94990816386482
  19 -243.32199210542944
  20 -242.2435601744057
  21 -242.92621065086144
  22 -242.56183003704299
  23 -243.07009658022849
  24 -242.93639411108424
  25 -243.08824863913446
  26 -242.18811594426677
  27 -242.56320205271913
  28 -242.71542756330814
  29 -242.57664101961839
   0 -243.21106821102026
   1 -242.64852554187243
   2 -242.69923834227572
   3 -243.52628139822016
   4 -242.82942456888742
   5 -243.41727860344758
   6 -243.07217650373445
   7 -242.86662015678976
   8 -243.0809565499554
   9 -243.12996103402438
  10 -243.57596804059276
  11 -242.59706340694899
  12 -243.6684615929538
  13 -243.09706589284841
  14 -243.43845437506928
